;rider;PCS;Team;Age;Nationality;Team PCS;flat1-4;flat5-8;flat9-12;hills(flat)1-4;hills(flat)5-8;hills(flat)9-12;hills(uphill)1-4;hills(uphill)5-8;hills(uphill)9-12;mountains(flat)1-4;mountains(flat)5-8;mountains(flat)9-12;mountains(uphill)1-4;mountains(uphill)5-8;mountains(uphill)9-12;gc1-4;gc5-8;gc9-12;wielerpoule
0;rider/christopher-froome;1377;Team Sky;29;Great Britain;4172;1.0;0.0;2.0;1.0;0.0;1.0;2.0;1.0;1.0;1.0;0.0;1.0;4.0;5.0;1.0;3.0;1.0;1.0;7.0
1;rider/bernhard-eisel;185;Team Sky;33;Austria;4172;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0
2;rider/vasil-kiryienka;417;Team Sky;33;Belarus;4172;2.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;10.0
3;rider/david-lopez;176;Team Sky;33;Spain;4172;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0
4;rider/mikel-nieve;604;Team Sky;30;Spain;4172;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;2.0;3.0
5;rider/danny-pate;58;Team Sky;35;United States;4172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
6;rider/richie-porte;458;Team Sky;29;Australia;4172;0.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;15.0
7;rider/geraint-thomas;877;Team Sky;28;Great Britain;4172;0.0;1.0;1.0;3.0;1.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;1.0;0.0
8;rider/xabier-zandio;20;Team Sky;37;Spain;4172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;rider/alejandro-valverde;2959;Movistar Team;34;Spain;5379;1.0;2.0;0.0;7.0;2.0;1.0;7.0;0.0;1.0;0.0;0.0;0.0;8.0;0.0;0.0;3.0;1.0;0.0;51.0
