;rider;PCS;Team;Age;Nationality;Team PCS;flat1-4;flat5-8;flat9-12;hills(flat)1-4;hills(flat)5-8;hills(flat)9-12;hills(uphill)1-4;hills(uphill)5-8;hills(uphill)9-12;mountains(flat)1-4;mountains(flat)5-8;mountains(flat)9-12;mountains(uphill)1-4;mountains(uphill)5-8;mountains(uphill)9-12;gc1-4;gc5-8;gc9-12;wielerpoule
0;rider/vincenzo-nibali;1378;Astana Pro Team;31;Italy;4384;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;51.0
1;rider/lars-boom;330;Astana Pro Team;30;Netherlands;4384;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0
2;rider/jakob-fuglsang;605;Astana Pro Team;30;Denmark;4384;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;1.0;0.0;2.0;0.0;28.0
3;rider/andrei-grivko;343;Astana Pro Team;32;Ukraine;4384;0.0;0.0;1.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;9.0
4;rider/dmitriy-gruzdev;107;Astana Pro Team;29;Kazakhstan;4384;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;8.0
5;rider/tanel-kangert;420;Astana Pro Team;28;Estonia;4384;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;1.0;8.0
6;rider/michele-scarponi;469;Astana Pro Team;36;Italy;4384;2.0;0.0;0.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;1.0;1.0;2.0;8.0
7;rider/rein-taaramae;624;Astana Pro Team;28;Estonia;4384;1.0;1.0;0.0;1.0;1.0;0.0;3.0;1.0;2.0;0.0;0.0;0.0;3.0;0.0;1.0;2.0;1.0;0.0;8.0
8;rider/lieuwe-westra;108;Astana Pro Team;33;Netherlands;4384;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0
9;rider/jean-christophe-peraud;283;AG2R La Mondiale;38;France;3811;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0
10;rider/romain-bardet;1102;AG2R La Mondiale;25;France;3811;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;3.0;1.0;0.0;2.0;3.0;51.0
11;rider/jan-bakelants;979;AG2R La Mondiale;29;Belgium;3811;0.0;0.0;0.0;1.0;1.0;2.0;1.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;2.0;1.0;18.0
12;rider/mikael-cherel;250;AG2R La Mondiale;29;France;3811;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;8.0
13;rider/ben-gastauer;172;AG2R La Mondiale;28;Luxembourg;3811;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0
14;rider/damien-gaudin;175;AG2R La Mondiale;29;France;3811;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0
15;rider/christophe-riblon;132;AG2R La Mondiale;34;France;3811;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;10.0
16;rider/johan-vansummeren;53;AG2R La Mondiale;34;Belgium;3811;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
17;rider/alexis-vuillermoz;665;AG2R La Mondiale;27;France;3811;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;4.0;28.0
18;rider/thibaut-pinot;1566;FDJ;25;France;3101;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;4.0;2.0;0.0;5.0;0.0;2.0;46.0
19;rider/william-bonnet;22;FDJ;33;France;3101;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;rider/sebastien-chavanel;41;FDJ;32;France;3101;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;rider/arnaud-demare;530;FDJ;24;France;3101;1.0;0.0;4.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0
22;rider/alexandre-geniez;472;FDJ;27;France;3101;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;1.0;0.0;1.0;0.0
23;rider/matthieu-ladagnous;166;FDJ;31;France;3101;0.0;0.0;2.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0
24;rider/steve-morabito;170;FDJ;32;Switzerland;3101;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
25;rider/jeremy-roy;69;FDJ;32;France;3101;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;rider/benoit-vaugrenard;65;FDJ;33;France;3101;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;rider/christopher-froome;1742;Team Sky;30;Great Britain;6645;0.0;0.0;1.0;1.0;1.0;3.0;2.0;3.0;0.0;0.0;0.0;0.0;4.0;1.0;1.0;3.0;0.0;0.0;113.0
28;rider/peter-kennaugh;214;Team Sky;26;Great Britain;6645;0.0;0.0;0.0;2.0;0.0;2.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;12.0
29;rider/leopold-konig;550;Team Sky;28;Czech Republic;6645;0.0;0.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;2.0;1.0;12.0
30;rider/wout-poels;603;Team Sky;28;Netherlands;6645;1.0;0.0;0.0;1.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;2.0;0.0;16.0
31;rider/richie-porte;1357;Team Sky;30;Australia;6645;0.0;0.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;0.0;0.0;2.0;2.0;2.0;0.0;5.0;0.0;0.0;30.0
32;rider/nicolas-roche;376;Team Sky;31;Ireland;6645;0.0;0.0;0.0;3.0;0.0;1.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;18.0
